Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Fred McGriff,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3DH,
Manny Ramirez,226,69,19,69.3,39.9,54.6,53.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,,,,,,,,,,,,,,*7*9*DH,
Jeff Kent,123,51,17,55.4,35.8,45.6,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453H/D6,
Scott Rolen,99,40,17,70.1,43.6,56.9,55.7,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,,,,,,,,,,,,,,*5/H,
Billy Wagner,107,24,16,27.7,19.8,23.7,32.6,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1,
Todd Helton,175,59,17,61.8,46.6,54.2,54.8,2247,7962,1401,2519,369,1406,37,1335,0.316,0.414,0.539,0.953,133,,,,,,,,,,,,,,*3H/7D9,
Gary Sheffield,158,61,22,60.5,38,49.3,57.2,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6H/3,
Andy Pettitte,128,44,18,60.2,34.1,47.2,61.6,108,196,6,27,1,13,0,6,0.138,0.163,0.184,0.346,-10,256,153,3.85,117,1.351,531,521,0,3316,3448,288,1031,2448,*1/H,
Sammy Sosa,202,52,18,58.6,43.8,51.2,57.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98DH/7,
Andruw Jones,109,34,17,62.7,46.4,54.6,58,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,,,,,,,,,,,,,,*89H7D/3,
Michael Young,112,36,14,24.7,21.4,23.1,55.3,1970,7918,1137,2375,185,1030,90,575,0.3,0.346,0.441,0.787,104,,,,,,,,,,,,,,*6*5*4D3/H,
Lance Berkman,98,44,15,52,39.2,45.6,53.6,1879,6491,1146,1905,366,1234,86,1201,0.293,0.406,0.537,0.943,144,,,,,,,,,,,,,,*3*7*98DH,
Miguel Tejada,149,44,16,47.1,36.6,41.9,55.3,2171,8434,1230,2407,307,1302,85,553,0.285,0.336,0.456,0.791,108,,,,,,,,,,,,,,*654/HD3,
Roy Oswalt,59,34,13,50,40.2,45.1,61.6,335,657,30,101,1,36,0,27,0.154,0.193,0.169,0.362,-4,163,102,3.36,127,1.211,365,341,0,2245.1,2199,197,520,1852,*1/H7,
Placido Polanco,42,26,16,41.9,32.4,37.1,57,1927,7214,1009,2142,104,723,81,429,0.297,0.343,0.397,0.74,95,,,,,,,,,,,,,,*4*56H/7D3,
Travis Hafner,31,19,12,24.8,24.6,24.7,54.8,1183,4058,619,1107,213,731,11,598,0.273,0.376,0.498,0.874,134,,,,,,,,,,,,,,*DH3,
Darren Oliver,20,9,20,22.2,16.8,19.5,32.6,181,217,17,48,1,20,0,8,0.221,0.259,0.286,0.544,38,118,98,4.51,104,1.439,766,229,7,1915.2,2037,216,720,1259,*1/H,
Kevin Youkilis,29,23,10,32.4,31.2,31.8,54.8,1061,3749,653,1053,150,618,26,539,0.281,0.382,0.478,0.861,123,,,,,,,,,,,,,,*3*5H/7D49,
Rick Ankiel,0,5,11,5.5,6.5,6,58,651,1921,260,462,76,251,21,162,0.24,0.302,0.422,0.724,92,13,10,3.9,119,1.355,51,41,1,242,198,32,130,269,*8H917,
Vernon Wells,52,19,15,28.6,26.2,27.4,58,1731,6642,930,1794,270,958,109,472,0.27,0.319,0.459,0.778,104,,,,,,,,,,,,,,*87D9H/345,
Jon Garland,17,9,13,22.5,19.5,21,61.6,102,175,12,24,1,7,0,10,0.137,0.187,0.166,0.353,-4,136,125,4.37,103,1.387,365,342,1,2151.1,2260,263,723,1156,*1/H,
Derek Lowe,51,19,17,34.3,28.4,31.3,61.6,258,436,30,65,1,25,1,29,0.149,0.201,0.186,0.387,4,176,157,4.03,109,1.33,681,377,86,2671.1,2759,217,794,1722,*1/H,
Jason Bay,47,21,11,24.7,24.6,24.7,53.6,1278,4505,737,1200,222,754,95,636,0.266,0.36,0.481,0.841,121,,,,,,,,,,,,,,*78H/9D,
Juan Pierre,63,23,14,17.3,16.7,17,58,1994,7525,1075,2217,18,517,614,464,0.295,0.343,0.361,0.704,84,,,,,,,,,,,,,,*8*7H/D,
Freddy Garcia,38,23,15,34.2,27.4,30.8,61.6,39,77,1,12,0,4,0,2,0.156,0.175,0.182,0.357,-5,156,108,4.15,107,1.303,376,357,0,2264,2243,285,708,1621,*1/H,
